Key,InStock,Author,Title
"""0x0000""","""y""","""Goswami, Jaideva""","""Fundamentals of Wavelets"""
"""0x0001""","""y""","""Razavi, Behzad""","""Fundamentals of Microelectronics"""
"""0x0002""","""n""","""Foreman, John""","""Data Smart"""
"""0x0003""","""y""","""Hawking, Stephen""","""God Created the Integers"""
"""0x0004""","""n""","""Dubner, Stephen""","""Superfreakonomics"""
"""0x0005""","""y""","""Said, Edward""","""Orientalism"""
"""0x0006""","""y""","""Vapnik, Vladimir""","""Nature of Statistical Learning Theory, The"""
"""0x0007""","""y""","""Menon, V P""","""Integration of the Indian States"""
"""0x0008""","""y""","""Mlodinow, Leonard""","""Drunkard's Walk, The"""
"""0x0009""","""n""","""Shih, Frank""","""Image Processing & Mathematical Morphology"""
"""0x000A""","""y""","""Konnikova, Maria""","""How to Think Like Sherlock Holmes"""
"""0x000B""","""n""","""Sebastian Gutierrez""","""Data Scientists at Work"""
"""0x000C""","""y""","""Vonnegut, Kurt""","""Slaughterhouse Five"""
"""0x000D""","""y""","""Villani, Cedric""","""Birth of a Theorem"""
"""0x000E""","""y""","""Sussman, Gerald""","""Structure & Interpretation of Computer Programs"""
"""0x000F""","""y""","""Eraly, Abraham""","""Age of Wrath, The"""
"""0x0010""","""n""","""Kafka, Frank""","""Trial, The"""
"""0x0011""","""y""","""Pratt, John""","""Statistical Decision Theory'"""
"""0x0012""","""n""","""Nisbet, Robert""","""Data Mining Handbook"""
"""0x0013""","""y""","""Wells, H. G.""","""New Machiavelli, The"""
"""0x0014""","""y""","""Heisenberg, Werner""","""Physics & Philosophy"""
"""0x0015""","""y""","""Oram, Andy""","""Making Software"""
"""0x0016""","""y""","""Tao, Terence""","""Analysis, Vol I"""
"""0x0017""","""n""","""Conway, Drew""","""Machine Learning for Hackers"""
"""0x0018""","""y""","""Silver, Nate""","""Signal and the Noise, The"""
"""0x0019""","""n""","""McKinney, Wes""","""Python for Data Analysis"""
"""0x001A""","""y""","""Cormen, Thomas""","""Introduction to Algorithms"""
"""0x001B""","""y""","""Deb, Siddhartha""","""Beautiful and the Damned, The"""
"""0x001C""","""y""","""Camus, Albert""","""Outsider, The"""
"""0x001D""","""y""","""Doyle, Arthur Conan""","""Complete Sherlock Holmes, The - Vol I"""
"""0x001E""","""n""","""Doyle, Arthur Conan""","""Complete Sherlock Holmes, The - Vol II"""
"""0x001F""","""y""","""Smith, Adam""","""Wealth of Nations, The"""
"""0x0020""","""n""","""Follett, Ken""","""Pillars of the Earth, The"""
"""0x0021""","""y""","""Hitler, Adolf""","""Mein Kampf"""
"""0x0022""","""y""","""Capra, Fritjof""","""Tao of Physics, The"""
"""0x0023""","""y""","""Feynman, Richard""","""Surely You're Joking Mr Feynman"""
"""0x0024""","""y""","""Hemingway, Ernest""","""Farewell to Arms, A"""
"""0x0025""","""n""","""Forsyth, Frederick""","""Veteran, The"""
"""0x0026""","""y""","""Archer, Jeffery""","""False Impressions"""
"""0x0027""","""n""","""Pausch, Randy""","""Last Lecture, The"""
"""0x0028""","""y""","""Rand, Ayn""","""Return of the Primitive"""
"""0x0029""","""y""","""Crichton, Michael""","""Jurassic Park"""
"""0x002A""","""y""","""Steinbeck, John""","""Russian Journal, A"""
"""0x002B""","""y""","""Poe, Edgar Allen""","""Tales of Mystery and Imagination"""
"""0x002C""","""n""","""Dubner, Stephen""","""Freakonomics"""
"""0x002D""","""y""","""Capra, Fritjof""","""Hidden Connections, The"""
"""0x002E""","""n""","""Durant, Will""","""Story of Philosophy, The"""
"""0x002F""","""y""","""Deshpande, P L""","""Asami Asami"""
"""0x0030""","""y""","""Steinbeck, John""","""Journal of a Novel"""
"""0x0031""","""y""","""Steinbeck, John""","""Once There Was a War"""
"""0x0032""","""y""","""Steinbeck, John""","""Moon is Down, The"""
"""0x0033""","""n""","""Grisham, John""","""Brethren, The"""
"""0x0034""","""y""","""Naipaul, V. S.""","""In a Free State"""
"""0x0035""","""n""","""Heller, Joseph""","""Catch 22"""
"""0x0036""","""y""","""BBC""","""Complete Mastermind, The"""
"""0x0037""","""y""","""Dylan, Bob""","""Dylan on Dylan"""
"""0x0038""","""y""","""Gupta, Madan""","""Soft Computing & Intelligent Systems"""
"""0x0039""","""y""","""Stonier, Alfred""","""Textbook of Economic Theory"""
"""0x003A""","""n""","""Greene, W. H.""","""Econometric Analysis"""
"""0x003B""","""y""","""Bradsky, Gary""","""Learning OpenCV"""
"""0x003C""","""n""","""Tanenbaum, Andrew""","""Data Structures Using C & C++"""
"""0x003D""","""y""","""Forsyth, David""","""Computer Vision, A Modern Approach"""
"""0x003E""","""y""","""Taub, Schilling""","""Principles of Communication Systems"""
"""0x003F""","""y""","""Kanetkar, Yashwant""","""Let Us C"""
"""0x0040""","""y""","""Stroud, Jonathan""","""Amulet of Samarkand, The"""
"""0x0041""","""n""","""Dostoevsky, Fyodor""","""Crime and Punishment"""
"""0x0042""","""y""","""Brown, Dan""","""Angels & Demons"""
"""0x0043""","""n""","""Sen, Amartya""","""Argumentative Indian, The"""
"""0x0044""","""y""","""Ghosh, Amitav""","""Sea of Poppies"""
"""0x0045""","""y""","""Sen, Amartya""","""Idea of Justice, The"""
"""0x0046""","""y""","""Hansberry, Lorraine""","""Raisin in the Sun, A"""
"""0x0047""","""y""","""Woodward, Bob""","""All the President's Men"""
"""0x0048""","""n""","""Archer, Jeffery""","""Prisoner of Birth, A"""
"""0x0049""","""y""","""Nayar, Kuldip""","""Scoop!"""
"""0x004A""","""n""","""Deshpande, Sunita""","""Ahe Manohar Tari"""
"""0x004B""","""y""","""Dalrymple, William""","""Last Mughal, The"""
"""0x004C""","""y""","""Various""","""Social Choice & Welfare, Vol 39 No. 1"""
"""0x004D""","""y""","""Deshpande, P L""","""Radiowaril Bhashane & Shrutika"""
"""0x004E""","""y""","""Deshpande, P L""","""Gun Gayin Awadi"""
"""0x004F""","""n""","""Deshpande, P L""","""Aghal Paghal"""
"""0x0050""","""y""","""Garg, Sanjay""","""Maqta-e-Ghalib"""
"""0x0051""","""n""","""Uknown""","""Beyond Degrees"""
"""0x0052""","""y""","""Kale, V P""","""Manasa"""
"""0x0053""","""y""","""Tharoor, Shashi""","""India from Midnight to Milennium"""
"""0x0054""","""y""","""Uknown""","""World's Greatest Trials, The"""
"""0x0055""","""y""","""Tharoor, Shashi""","""Great Indian Novel, The"""
"""0x0056""","""n""","""Lapierre, Dominique""","""O Jerusalem!"""
"""0x0057""","""y""","""Lapierre, Dominique""","""City of Joy, The"""
"""0x0058""","""n""","""Lapierre, Dominique""","""Freedom at Midnight"""
"""0x0059""","""y""","""Steinbeck, John""","""Winter of Our Discontent, The"""
"""0x005A""","""y""","""Russell, Bertrand""","""On Education"""
"""0x005B""","""y""","""Harris, Sam""","""Free Will"""
"""0x005C""","""y""","""Tharoor, Shashi""","""Bookless in Baghdad"""
"""0x005D""","""n""","""Gardner, Earle Stanley""","""Case of the Lame Canary, The"""
"""0x005E""","""y""","""Hawking, Stephen""","""Theory of Everything, The"""
"""0x005F""","""n""","""Drucker, Peter""","""New Markets & Other Essays"""
"""0x0060""","""y""","""Bodanis, David""","""Electric Universe"""
"""0x0061""","""y""","""Hugo, Victor""","""Hunchback of Notre Dame, The"""
"""0x0062""","""y""","""Steinbeck, John""","""Burning Bright"""
"""0x0063""","""y""","""Drucker, Peter""","""Age of Discontuinity, The"""
"""0x0064""","""n""","""Gordon, Richard""","""Doctor in the Nude"""
"""0x0065""","""y""","""Orwell, George""","""Down and Out in Paris & London"""
"""0x0066""","""n""","""Sen, Amartya""","""Identity & Violence"""
"""0x0067""","""y""","""Dalrymple, William""","""Beyond the Three Seas"""
"""0x0068""","""y""","""Uknown""","""World's Greatest Short Stories, The"""
"""0x0069""","""y""","""Iacoca, Lee""","""Talking Straight"""
"""0x006A""","""y""","""Maugham, William S""","""Maugham's Collected Short Stories, Vol 3"""
"""0x006B""","""n""","""Forsyth, Frederick""","""Phantom of Manhattan, The"""
"""0x006C""","""y""","""Maugham, William S""","""Ashenden of The British Agent"""
"""0x006D""","""n""","""Pirsig, Robert""","""Zen & The Art of Motorcycle Maintenance"""
"""0x006E""","""y""","""Fisk, Robert""","""Great War for Civilization, The"""
"""0x006F""","""y""","""Rand, Ayn""","""We the Living"""
"""0x0070""","""y""","""Aczel, Amir""","""Artist and the Mathematician, The"""
"""0x0071""","""y""","""Russell, Bertrand""","""History of Western Philosophy"""
"""0x0072""","""n""","""Uknown""","""Selected Short Stories"""
"""0x0073""","""y""","""Sen, Amartya""","""Rationality & Freedom"""
"""0x0074""","""n""","""Huntington, Samuel""","""Clash of Civilizations and Remaking of the World Order"""
"""0x0075""","""y""","""Capra, Fritjof""","""Uncommon Wisdom"""
