Title, Author, Checked In
"""20000 Leagues Under the Sea""","""Verne, Jules""",1
"""Age of Discontuinity, The""","""Drucker, Peter""",1
"""Age of Wrath, The""","""Eraly, Abraham""",1
"""Age of the Warrior, The""","""Fisk, Robert""",1
"""Aghal Paghal""","""Deshpande, P L""",1
"""Ahe Manohar Tari""","""Deshpande, Sunita""",1
"""All the President's Men""","""Woodward, Bob""",1
"""Amulet of Samarkand, The""","""Stroud, Jonathan""",1
"""Analysis, Vol I""","""Tao, Terence""",1
"""Angels & Demons""","""Brown, Dan""",1
"""Angels & Demons""","""Brown, Dan""",1
"""Animal Farm""","""Orwell, George""",1
"""Apulki""","""Deshpande, P L""",1
"""Argumentative Indian, The""","""Sen, Amartya""",1
"""Arthashastra, The""","""Kautiyla""",1
"""Artist and the Mathematician, The""","""Aczel, Amir""",1
"""Asami Asami""","""Deshpande, P L""",1
"""Ashenden of The British Agent""","""Maugham, William S""",1
"""Attorney, The""","""Unknown""",1
"""Ayn Rand Answers""","""Rand, Ayn""",1
"""Batatyachi Chal""","""Deshpande P L""",1
"""Batman Earth One""","""Unknown""",1
"""Batman Handbook""","""Unknown""",1
"""Batman: The Long Halloween""","""Unknown""",1
"""Beautiful and the Damned, The""","""Deb, Siddhartha""",1
"""Beyond Degrees""","""Unknown""",1
"""Beyond the Three Seas""","""Dalrymple, William""",1
"""Birth of a Theorem""","""Villani, Cedric""",1
"""Bookless in Baghdad""","""Tharoor, Shashi""",1
"""Brethren, The""","""Grisham, John""",1
"""Broca's Brain""","""Sagan, Carl""",1
"""Burning Bright""","""Steinbeck, John""",1
"""Case of the Lame Canary, The""","""Gardner, Earle Stanley""",1
"""Catch 22""","""Heller, Joseph""",1
"""Cathedral and the Bazaar, The""","""Raymond, Eric""",1
"""Char Shabda""","""Deshpande, P L""",1
"""Christmas Carol, A""","""Dickens, Charles""",1
"""City of Djinns""","""Dalrymple, William""",1
"""City of Joy, The""","""Lapierre, Dominique""",1
"""Clash of Civilizations and Remaking of the World Order""","""Huntington, Samuel""",1
